"Código.Partido","Nombre.Partido","etiqueta_partido"
28,"AGRUPACIÓN POLÍTICA EN MARCHA","INFORMACIÓN INSUFICIENTE"
2036,"ALIANZA CON POPAYÁN","INFORMACIÓN INSUFICIENTE"
6652,"ALIANZA VERDE MIRA","CATÓLICOS/CRISTIANOS"
6975,"AVANCEMOS SANTA ROSA","INFORMACIÓN INSUFICIENTE"
0,"CANDIDATOS TOTALES","INFORMACIÓN INSUFICIENTE"
6960,"CAUCA INCLUYENTE","INFORMACIÓN INSUFICIENTE"
5158,"CAUCA NOS UNE","INFORMACIÓN INSUFICIENTE"
6306,"CHIQUI ALCALDE","INFORMACIÓN INSUFICIENTE"
6011,"COALICION ALVEIRO SALAZAR","INFORMACIÓN INSUFICIENTE"
7504,"COALICION COLOMBIA RENACIENTE-MIRA","CATÓLICOS/CRISTIANOS"
7222,"COALICION PARA VOLVER A CAMBIAR POSITIVAMENTE","INFORMACIÓN INSUFICIENTE"
6853,"COALICION PARA VOLVER A CREER","INFORMACIÓN INSUFICIENTE"
7908,"COALICION PARTIDO ASI Y PARTIDO ALIANZA VERDE","INFORMACIÓN INSUFICIENTE"
6939,"COALICION PARTIDO CAMBIO RADICAL Y PARTIDO POLITICO MIRA","DERECHA"
7559,"COALICION PARTIDO COLOMBIA RENACIENTE-PARTIDO POLITICO MIRA","INFORMACIÓN INSUFICIENTE"
7592,"COALICION PARTIDO DE LA U Y PARTIDO MIRA","DERECHA"
5160,"COALICION PROGRAMA Y POLITICA","INFORMACIÓN INSUFICIENTE"
7097,"COALICION TODOS SOMOS PUERTO TEJADA","INFORMACIÓN INSUFICIENTE"
5006,"COALICIÓN DESPIERTA POPAYÁN","INFORMACIÓN INSUFICIENTE"
6272,"COALICIÓN PARTIDO CONSERVADOR - ALIANZA SOCIAL INDEPENDIENTE ""ASI""","PARTIDO TRADICIONAL"
5404,"COALICIÓN PROSPERIDAD SOSTENIBLE","INFORMACIÓN INSUFICIENTE"
5138,"COALICIÓN, POR LA LIBERTAD Y LA ESPERANZA","INFORMACIÓN INSUFICIENTE"
7553,"COLOMBIA RENACIENTE","INFORMACIÓN INSUFICIENTE"
7449,"COLOMBIA RENACIENTE","INFORMACIÓN INSUFICIENTE"
6909,"COLOMBIA RENACIENTE MIRA","INFORMACIÓN INSUFICIENTE"
7586,"COMPROMISO PARA AVANZAR","INFORMACIÓN INSUFICIENTE"
2663,"CONECTEMOS JUNTOS","INFORMACIÓN INSUFICIENTE"
1243,"CONECTEMOS JUNTOS","INFORMACIÓN INSUFICIENTE"
6356,"CONSTRUYENDO EL CAMINO","INFORMACIÓN INSUFICIENTE"
7604,"CORINTO SOMOS TODOS","INFORMACIÓN INSUFICIENTE"
8360,"DE PUERTAS ABIERTAS","INFORMACIÓN INSUFICIENTE"
6542,"DICIENDO Y HACIENDO","INFORMACIÓN INSUFICIENTE"
5464,"DICIENDO Y HACIENDO LA TRANSFORMACION ES YA","INFORMACIÓN INSUFICIENTE"
5757,"DIGNIDAD & COMPROMISO -AICO","INFORMACIÓN INSUFICIENTE"
5886,"DIGNIDAD & COMPROMISO-COLOMBIA JUSTA LIBRES","INFORMACIÓN INSUFICIENTE"
7421,"DIGNIDAD Y COMPROMISO AICO","INFORMACIÓN INSUFICIENTE"
7774,"EL TAMBO EN LAS MANOS DE TODOS","INFORMACIÓN INSUFICIENTE"
6752,"EQUIDAD Y TRABAJO COMUNITARIO","INFORMACIÓN INSUFICIENTE"
6333,"FUERZA DEL PROGRESO","INFORMACIÓN INSUFICIENTE"
7543,"FUERZA EN MOVIMIENTO","INFORMACIÓN INSUFICIENTE"
1710,"HUELLAS","INFORMACIÓN INSUFICIENTE"
2574,"IDENTIDAD COMUNITARIA","INFORMACIÓN INSUFICIENTE"
31,"INDEPENDIENTES","INFORMACIÓN INSUFICIENTE"
7304,"INDEPENDIENTES CON UNIDAD","INFORMACIÓN INSUFICIENTE"
7242,"JUNTOS HACIENDO HISTORIA","INFORMACIÓN INSUFICIENTE"
7530,"JUNTOS LO HACEMOS POSIBLE","INFORMACIÓN INSUFICIENTE"
6673,"LA COALICION PROGRAMATICA Y POLITICA","INFORMACIÓN INSUFICIENTE"
5600,"LA FUERZA DEL PUEBLO","INFORMACIÓN INSUFICIENTE"
6024,"LA VOZ DEL PACIFICO","INFORMACIÓN INSUFICIENTE"
6034,"LA VOZ DEL PACIFICO","INFORMACIÓN INSUFICIENTE"
5849,"LIGA -MIRA MORALES","INFORMACIÓN INSUFICIENTE"
1924,"MIRANDA INCLUYENTE","INFORMACIÓN INSUFICIENTE"
6670,"MIRANDA MERECE MAS","INFORMACIÓN INSUFICIENTE"
7146,"MIRANDA, MERECE MAS","INFORMACIÓN INSUFICIENTE"
16,"MOVIMIENTO ALIANZA DEMOCRÁTICA AMPLIA - Res. 2049 de 2021","INFORMACIÓN INSUFICIENTE"
12,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","INDÍGENAS"
5,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""","INDÍGENAS"
37,"MOVIMIENTO POLITICO FUERZA CIUDADANA","INFORMACIÓN INSUFICIENTE"
18,"MOVIMIENTO POLÍTICO COLOMBIA HUMANA","IZQUIERDA"
20,"MOVIMIENTO SALVACIÓN NACIONAL","NI DERECHA, NI IZQUIERDA"
29,"NUEVA FUERZA DEMOCRÁTICA","INFORMACIÓN INSUFICIENTE"
6307,"PACTO DE UNIDAD SOCIAL POR GUACHENÉ","INFORMACIÓN INSUFICIENTE"
8286,"PACTO HISTORICO","IZQUIERDA"
8330,"PACTO HISTORICO","IZQUIERDA"
8045,"PACTO HISTORICO","IZQUIERDA"
8097,"PACTO HISTORICO","IZQUIERDA"
8192,"PACTO HISTORICO","IZQUIERDA"
8347,"PACTO HISTORICO","IZQUIERDA"
8085,"PACTO HISTORICO","IZQUIERDA"
8188,"PACTO HISTORICO","IZQUIERDA"
8048,"PACTO HISTORICO","IZQUIERDA"
8219,"PACTO HISTORICO","IZQUIERDA"
8227,"PACTO HISTORICO","IZQUIERDA"
7735,"PACTO HISTORICO","IZQUIERDA"
8057,"PACTO HISTORICO","IZQUIERDA"
8005,"PACTO HISTORICO","IZQUIERDA"
7883,"PACTO HISTORICO","IZQUIERDA"
8078,"PACTO HISTORICO","IZQUIERDA"
8004,"PACTO HISTORICO","IZQUIERDA"
8535,"PACTO HISTORICO","IZQUIERDA"
8597,"PACTO HISTORICO","IZQUIERDA"
5039,"PACTO HISTORICO","IZQUIERDA"
8599,"PACTO HISTORICO","IZQUIERDA"
8600,"PACTO HISTORICO","IZQUIERDA"
7898,"PACTO HISTORICO","IZQUIERDA"
8603,"PACTO HISTORICO","IZQUIERDA"
8619,"PACTO HISTORICO","IZQUIERDA"
8013,"PACTO HISTORICO","IZQUIERDA"
8268,"PACTO HISTORICO","IZQUIERDA"
7930,"PACTO HISTORICO","IZQUIERDA"
8015,"PACTO HISTORICO","IZQUIERDA"
8313,"PACTO HISTORICO","IZQUIERDA"
8051,"PACTO HISTORICO","IZQUIERDA"
8593,"PACTO HISTORICO","IZQUIERDA"
7972,"PACTO HISTORICO","IZQUIERDA"
8252,"PACTO HISTORICO","IZQUIERDA"
8356,"PACTO HISTORICO","IZQUIERDA"
8136,"PACTO HISTORICO","IZQUIERDA"
8105,"PACTO HISTORICO","IZQUIERDA"
8320,"PACTO HISTORICO","IZQUIERDA"
8100,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8312,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8283,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
7991,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8139,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8050,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8037,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8065,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
7987,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8092,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8240,"PACTO HISTORICO COLOMBIA PUEDE TIMBIO","IZQUIERDA"
8196,"PACTO HISTORICO MORALES CAUCA","IZQUIERDA"
8291,"PACTO HISTORICO SUCRE","IZQUIERDA"
8018,"PACTO HISTORICO-COLOMBIA PUEDE","IZQUIERDA"
8363,"PACTO HISTÓRICO","IZQUIERDA"
8372,"PACTO POLO - INDEPENDIENTE","IZQUIERDA"
6538,"PACTO POR UN CALOTO GRANDE","IZQUIERDA"
7514,"PAEZ EL CAMBIO NOS UNE","INFORMACIÓN INSUFICIENTE"
6,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""","INFORMACIÓN INSUFICIENTE"
4,"PARTIDO ALIANZA VERDE","INFORMACIÓN INSUFICIENTE"
3,"PARTIDO CAMBIO RADICAL","DERECHA"
7703,"PARTIDO CAMBIO RADICAL Y PARTIDO POLITICO MIRA","INFORMACIÓN INSUFICIENTE"
11,"PARTIDO CENTRO DEMOCRÁTICO","DERECHA"
14,"PARTIDO COLOMBIA JUSTA LIBRES","CATÓLICOS/CRISTIANOS"
15,"PARTIDO COLOMBIA RENACIENTE","INFORMACIÓN INSUFICIENTE"
22,"PARTIDO COMUNISTA COLOMBIANO","IZQUIERDA"
2,"PARTIDO CONSERVADOR COLOMBIANO","PARTIDO TRADICIONAL"
8359,"PARTIDO DE LA U Y EL PARTIDO POLITICO MIRA","DERECHA"
7736,"PARTIDO DE LA U Y PARTIDO LA FUERZA DE LA PAZ","DERECHA"
5803,"PARTIDO DE LA U Y PARTIDO LIBERAL COLOMBIANO","DERECHA"
8304,"PARTIDO DE LA U-PARTIDO MIRA","DERECHA"
8,"PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U","DERECHA"
35,"PARTIDO DEL TRABAJO DE COLOMBIA","IZQUIERDA"
24,"PARTIDO DEMÓCRATA COLOMBIANO","INFORMACIÓN INSUFICIENTE"
25,"PARTIDO ECOLOGISTA COLOMBIANO","INFORMACIÓN INSUFICIENTE"
7691,"PARTIDO INDEPENDIENTES - PARTIDO MIRA","INFORMACIÓN INSUFICIENTE"
1,"PARTIDO LIBERAL COLOMBIANO","PARTIDO TRADICIONAL"
23,"PARTIDO LIGA GOBERNANTES ANTICORRUPCIÓN - LIGA","EX-MILITANTES DE GRUPOS ARMADOS"
19,"PARTIDO NUEVO LIBERALISMO","NI DERECHA, NI IZQUIERDA"
6091,"PARTIDO NUEVO LIBERALISMO - MIRA","NI DERECHA, NI IZQUIERDA"
9,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","IZQUIERDA"
33,"PARTIDO POLÍTICO CREEMOS","INFORMACIÓN INSUFICIENTE"
17,"PARTIDO POLÍTICO DIGNIDAD & COMPROMISO","INFORMACIÓN INSUFICIENTE"
30,"PARTIDO POLÍTICO ESPERANZA DEMOCRÁTICA","INFORMACIÓN INSUFICIENTE"
36,"PARTIDO POLÍTICO GENTE EN MOVIMIENTO","INFORMACIÓN INSUFICIENTE"
26,"PARTIDO POLÍTICO LA FUERZA DE LA PAZ","INFORMACIÓN INSUFICIENTE"
7,"PARTIDO POLÍTICO MIRA","CATÓLICOS/CRISTIANOS"
32,"PARTIDO POLÍTICO TODOS SOMOS COLOMBIA","INFORMACIÓN INSUFICIENTE"
10,"PARTIDO UNIÓN PATRIÓTICA ""UP""","EX-MILITANTES DE GRUPOS ARMADOS"
21,"PARTIDO VERDE OXÍGENO","INFORMACIÓN INSUFICIENTE"
5985,"PCC - COLOMBIA JUSTA LIBRES -FUERZA DE LA PAZ - PIENDAMO","PARTIDO TRADICIONAL"
7351,"POR EL SUAREZ QUE SOÑAMOS","INFORMACIÓN INSUFICIENTE"
6378,"QUILICHAO SOMOS TODOS","INFORMACIÓN INSUFICIENTE"
6094,"SI, EL PODER DE LA GENTE","INFORMACIÓN INSUFICIENTE"
6145,"SI, EL PODER DE LA GENTE","INFORMACIÓN INSUFICIENTE"
6871,"SOMOS LA FUERZA DEL PUEBLO","INFORMACIÓN INSUFICIENTE"
7505,"TIMBIQUI NOS UNE","INFORMACIÓN INSUFICIENTE"
6566,"TRANSFORMANDO JUNTOS","INFORMACIÓN INSUFICIENTE"
7769,"U, NUEVO LIBERALISMO, MIRA","DERECHA"
7483,"UN ACUERDO POR EL CAUCA","INFORMACIÓN INSUFICIENTE"
6174,"UNIDAD ENTRE INDIGENAS Y CAMPESINOS DEL MUNICIPIO DE CALDONO","INFORMACIÓN INSUFICIENTE"
7142,"UNIDAD SOCIAL POR GUACHENÉ","INFORMACIÓN INSUFICIENTE"
5680,"UNIDOS EN LA DIVERSIDAD","INFORMACIÓN INSUFICIENTE"
6265,"UNIDOS POR ARGELIA","INFORMACIÓN INSUFICIENTE"
5999,"UNIDOS POR EL CAUCA","INFORMACIÓN INSUFICIENTE"
6506,"UNIDOS POR EL TAMBO","INFORMACIÓN INSUFICIENTE"
6700,"UNIDOS POR ROSAS (PARTIDO DE LA U- MIRA)","DERECHA"
6540,"UNION POR EL FUTURO","INFORMACIÓN INSUFICIENTE"
7154,"VILLA RICA SE DIGNIFICA CON INCLUSION, PROPOSITO Y PROGRESO","INFORMACIÓN INSUFICIENTE"
